subject,subject_grades,subject_session
MA20101-TRANSFORM CALCULUS,EX,Autumn19
PH20003-PHYSICS-II,A,Autumn19
BS20001-SCIENCE OF LIVING SYSTEM,EX,Spring19
CS21003-ALGORITHMS - I,A,Spring19
CS29003-ALGORITHMS LABORATORY,EX,Spring19
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring19
EC21008-ANALOG ELECTRONIC CIRCUITS,EX,Spring19
EC29008-ANALOG  CIRCUITS LAB.,A,Spring19
EE21004-MEASUREMENTS AND ELECTRONIC INSTRUMENTS,B,Spring19
EE29004-MEASUREMENTS AND ELECTRONIC INSTRUMENTS LAB.,A,Spring19
EV20001-ENVIRONMENTAL SCIENCE,A,Spring19
MA20106-PROBABILITY & STOCHASTIC PROCESSES,EX,Spring19
TE30002-INTRODUCTION TO WIRELESS COMMUNICATIONS,B,Spring19
CH31001-MASS TRANSFER I,A,Autumn20
EC31003-DIGITAL ELECTRONIC CIRCUITS,A,Autumn20
EC39003-DIGITAL ELECTRONIC CIRCUITS LAB.,A,Autumn20
EE31009-CONTROL SYSTEM ENGINEERING,B,Autumn20
EE39009-CONTROL AND INSTRUMENTATION LAB.,A,Autumn20
EP60025-,A,Autumn20
IE31001-INSTRUMENTATION DEVICES,A,Autumn20
IE39001-INSTRUMENTATION DEVICES LABORATORY,A,Autumn20
BM40002-INTRODUCTION TO FINANCIAL MANAGEMENT,EX,Spring20
CH39006-MASS TRANSFER LABORATORY,,Spring20
CS31702-COMPUTER ARCHITECTURE AND OPERATING SYSTEM,A,Spring20
EE30004-EMBEDDED SYSTEMS,C,Spring20
EE39004-EMBEDDED SYSTEMS LAB.,A,Spring20
IE30002-INSTRUMENTATION DEVICES-II,C,Spring20
IE30006-DATA COMMUNICATION,A,Spring20
IE39002-INSTRUMENTATION LABORATORY-II,A,Spring20
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,A,Autumn18
CS10001-PROGRAMMING AND DATA STRUCTURES,A,Autumn18
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,A,Autumn18
EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn18
EA10005-INDUCTION PROGRAM,Y,Autumn18
MA10001-MATHEMATICS-I,EX,Autumn18
ME10001-MECHANICS,EX,Autumn18
PH11001-PHYSICS,A,Autumn18
PH19001-PHYSICS LAB.,EX,Autumn18
CY11001-CHEMISTRY,A,Spring18
CY19001-CHEMISTRY LAB.,EX,Spring18
EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring18
EE11001-ELECTRICAL TECHNOLOGY,A,Spring18
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Spring18
HS13001-ENGLISH FOR COMMUNICATION,A,Spring18
MA10002-MATHEMATICS-II,EX,Spring18
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring18
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn19
EC21103-INTRODUCTION TO ELECTRONICS,B,Autumn19
EC29003-INTRODUCTION TO ELECTRONICS LAB.,B,Autumn19
EE21101-SIGNALS & NETWORKS,A,Autumn19
EE29001-SIGNALS & NETWORKS LAB.,A,Autumn19
HS30066-VISUAL COMMUNICATION,C,Autumn19
MA20101-TRANSFORM CALCULUS,EX,Autumn19
PH20003-PHYSICS-II,A,Autumn19
BS20001-SCIENCE OF LIVING SYSTEM,B,Spring19
CS21003-ALGORITHMS - I,C,Spring19
CS29003-ALGORITHMS LABORATORY,B,Spring19
EA10004-EXTRA ACADEMIC ACTIVITY-IV,B,Spring19
EC21008-ANALOG ELECTRONIC CIRCUITS,EX,Spring19
EC29008-ANALOG  CIRCUITS LAB.,A,Spring19
EE21004-MEASUREMENTS AND ELECTRONIC INSTRUMENTS,A,Spring19
EE29004-MEASUREMENTS AND ELECTRONIC INSTRUMENTS LAB.,A,Spring19
EV20001-ENVIRONMENTAL SCIENCE,B,Spring19
HS30074-SCIENCE AND HUMANISM,EX,Spring19
MA20106-PROBABILITY & STOCHASTIC PROCESSES,EX,Spring19
CH31001-MASS TRANSFER I,A,Autumn20
CS60075-,D,Autumn20
EC31003-DIGITAL ELECTRONIC CIRCUITS,D,Autumn20
EC39003-DIGITAL ELECTRONIC CIRCUITS LAB.,B,Autumn20
EE31009-CONTROL SYSTEM ENGINEERING,B,Autumn20
EE39009-CONTROL AND INSTRUMENTATION LAB.,B,Autumn20
EP60005-,EX,Autumn20
IE31001-INSTRUMENTATION DEVICES,B,Autumn20
IE39001-INSTRUMENTATION DEVICES LABORATORY,A,Autumn20
CH39006-MASS TRANSFER LABORATORY,,Spring20
CS31702-COMPUTER ARCHITECTURE AND OPERATING SYSTEM,B,Spring20
CS60086-,B,Spring20
EE30004-EMBEDDED SYSTEMS,C,Spring20
EE39004-EMBEDDED SYSTEMS LAB.,A,Spring20
IE30002-INSTRUMENTATION DEVICES-II,C,Spring20
IE30006-DATA COMMUNICATION,B,Spring20
IE39002-INSTRUMENTATION LABORATORY-II,A,Spring20
MA60002-,EX,Spring20
CY11001-CHEMISTRY,EX,Autumn18
CY19001-CHEMISTRY LAB.,EX,Autumn18
EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn18
EA10005-INDUCTION PROGRAM,Y,Autumn18
EE11001-ELECTRICAL TECHNOLOGY,EX,Autumn18
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Autumn18
HS13001-ENGLISH FOR COMMUNICATION,B,Autumn18
MA10001-MATHEMATICS-I,EX,Autumn18
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn18
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,A,Spring18
CS10001-PROGRAMMING AND DATA STRUCTURES,A,Spring18
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,EX,Spring18
EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring18
MA10002-MATHEMATICS-II,EX,Spring18
ME10001-MECHANICS,A,Spring18
PH11001-PHYSICS,EX,Spring18
PH19001-PHYSICS LAB.,EX,Spring18
EA10003-EXTRA ACADEMIC ACTIVITY-III,EX,Autumn19
EC21103-INTRODUCTION TO ELECTRONICS,EX,Autumn19
EC29003-INTRODUCTION TO ELECTRONICS LAB.,A,Autumn19
EE21101-SIGNALS & NETWORKS,A,Autumn19
EE29001-SIGNALS & NETWORKS LAB.,EX,Autumn19
HS20004-POSITIVE PSYCHOLOGY,A,Autumn19
MA20101-TRANSFORM CALCULUS,EX,Autumn19
PH20003-PHYSICS-II,A,Autumn19
BS20001-SCIENCE OF LIVING SYSTEM,A,Spring19
CS21003-ALGORITHMS - I,A,Spring19
CS29003-ALGORITHMS LABORATORY,A,Spring19
EA10004-EXTRA ACADEMIC ACTIVITY-IV,D,Spring19
EC21008-ANALOG ELECTRONIC CIRCUITS,A,Spring19
EC29008-ANALOG  CIRCUITS LAB.,EX,Spring19
EE21004-MEASUREMENTS AND ELECTRONIC INSTRUMENTS,B,Spring19
EE29004-MEASUREMENTS AND ELECTRONIC INSTRUMENTS LAB.,A,Spring19
EV20001-ENVIRONMENTAL SCIENCE,A,Spring19
HS30001-INTRODUCTION TO SOCIOLOGY,A,Spring19
MA20106-PROBABILITY & STOCHASTIC PROCESSES,EX,Spring19
CH31001-MASS TRANSFER I,A,Autumn20
CS60017-,A,Autumn20
EC31003-DIGITAL ELECTRONIC CIRCUITS,B,Autumn20
EC39003-DIGITAL ELECTRONIC CIRCUITS LAB.,EX,Autumn20
EE31009-CONTROL SYSTEM ENGINEERING,B,Autumn20
EE39009-CONTROL AND INSTRUMENTATION LAB.,B,Autumn20
EP60025-,EX,Autumn20
IE31001-INSTRUMENTATION DEVICES,A,Autumn20
IE39001-INSTRUMENTATION DEVICES LABORATORY,A,Autumn20
BM40002-INTRODUCTION TO FINANCIAL MANAGEMENT,EX,Spring20
CH39006-MASS TRANSFER LABORATORY,,Spring20
CS31702-COMPUTER ARCHITECTURE AND OPERATING SYSTEM,A,Spring20
CS60050-,EX,Spring20
EE30004-EMBEDDED SYSTEMS,B,Spring20
EE39004-EMBEDDED SYSTEMS LAB.,EX,Spring20
IE30002-INSTRUMENTATION DEVICES-II,B,Spring20
IE30006-DATA COMMUNICATION,B,Spring20
IE39002-INSTRUMENTATION LABORATORY-II,A,Spring20
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,EX,Autumn18
CS10001-PROGRAMMING AND DATA STRUCTURES,A,Autumn18
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,EX,Autumn18
EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn18
EA10005-INDUCTION PROGRAM,Y,Autumn18
MA10001-MATHEMATICS-I,A,Autumn18
ME10001-MECHANICS,A,Autumn18
PH11001-PHYSICS,A,Autumn18
PH19001-PHYSICS LAB.,EX,Autumn18
CY11001-CHEMISTRY,EX,Spring18
CY19001-CHEMISTRY LAB.,EX,Spring18
EA10002-EXTRA ACADEMIC ACTIVITY-II,EX,Spring18
EE11001-ELECTRICAL TECHNOLOGY,B,Spring18
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Spring18
HS13001-ENGLISH FOR COMMUNICATION,A,Spring18
MA10002-MATHEMATICS-II,EX,Spring18
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring18
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn19
EC21103-INTRODUCTION TO ELECTRONICS,EX,Autumn19
EC29003-INTRODUCTION TO ELECTRONICS LAB.,EX,Autumn19
EE21101-SIGNALS & NETWORKS,EX,Autumn19
EE29001-SIGNALS & NETWORKS LAB.,A,Autumn19
HS20004-POSITIVE PSYCHOLOGY,EX,Autumn19
MA20101-TRANSFORM CALCULUS,EX,Autumn19
PH20003-PHYSICS-II,A,Autumn19
BS20001-SCIENCE OF LIVING SYSTEM,A,Spring19
CS21003-ALGORITHMS - I,C,Spring19
CS29003-ALGORITHMS LABORATORY,B,Spring19
EA10004-EXTRA ACADEMIC ACTIVITY-IV,EX,Spring19
EC21008-ANALOG ELECTRONIC CIRCUITS,A,Spring19
EC29008-ANALOG  CIRCUITS LAB.,EX,Spring19
EE21004-MEASUREMENTS AND ELECTRONIC INSTRUMENTS,EX,Spring19
EE29004-MEASUREMENTS AND ELECTRONIC INSTRUMENTS LAB.,A,Spring19
EV20001-ENVIRONMENTAL SCIENCE,B,Spring19
HS30001-INTRODUCTION TO SOCIOLOGY,EX,Spring19
MA20106-PROBABILITY & STOCHASTIC PROCESSES,A,Spring19
CH31001-MASS TRANSFER I,EX,Autumn20
CS60017-,A,Autumn20
EC31003-DIGITAL ELECTRONIC CIRCUITS,A,Autumn20
EC39003-DIGITAL ELECTRONIC CIRCUITS LAB.,EX,Autumn20
EE31009-CONTROL SYSTEM ENGINEERING,B,Autumn20
EE39009-CONTROL AND INSTRUMENTATION LAB.,A,Autumn20
EP60025-,EX,Autumn20
IE31001-INSTRUMENTATION DEVICES,B,Autumn20
IE39001-INSTRUMENTATION DEVICES LABORATORY,EX,Autumn20
BM40002-INTRODUCTION TO FINANCIAL MANAGEMENT,EX,Spring20
CH39006-MASS TRANSFER LABORATORY,,Spring20
CS31702-COMPUTER ARCHITECTURE AND OPERATING SYSTEM,B,Spring20
CS60050-,EX,Spring20
EE30004-EMBEDDED SYSTEMS,A,Spring20
EE39004-EMBEDDED SYSTEMS LAB.,EX,Spring20
IE30002-INSTRUMENTATION DEVICES-II,B,Spring20
IE30006-DATA COMMUNICATION,B,Spring20
IE39002-INSTRUMENTATION LABORATORY-II,A,Spring20
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Autumn18
CS10001-PROGRAMMING AND DATA STRUCTURES,EX,Autumn18
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,A,Autumn18
EA10001-EXTRA ACADEMIC ACTIVITY-I,D,Autumn18
EA10005-INDUCTION PROGRAM,Y,Autumn18
MA10001-MATHEMATICS-I,A,Autumn18
ME10001-MECHANICS,A,Autumn18
PH11001-PHYSICS,EX,Autumn18
PH19001-PHYSICS LAB.,EX,Autumn18
CY11001-CHEMISTRY,A,Spring18
CY19001-CHEMISTRY LAB.,EX,Spring18
EA10002-EXTRA ACADEMIC ACTIVITY-II,C,Spring18
EE11001-ELECTRICAL TECHNOLOGY,A,Spring18
EE19001-ELECTRICAL TECHNOLOGY LAB.,EX,Spring18
HS13001-ENGLISH FOR COMMUNICATION,EX,Spring18
MA10002-MATHEMATICS-II,EX,Spring18
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring18
EA10003-EXTRA ACADEMIC ACTIVITY-III,C,Autumn19
EC21103-INTRODUCTION TO ELECTRONICS,B,Autumn19
EC29003-INTRODUCTION TO ELECTRONICS LAB.,A,Autumn19
EE21101-SIGNALS & NETWORKS,A,Autumn19
EE29001-SIGNALS & NETWORKS LAB.,EX,Autumn19
HS20004-POSITIVE PSYCHOLOGY,A,Autumn19
MA20101-TRANSFORM CALCULUS,EX,Autumn19
PH20003-PHYSICS-II,B,Autumn19
BS20001-SCIENCE OF LIVING SYSTEM,A,Spring19
CS21003-ALGORITHMS - I,B,Spring19
CS29003-ALGORITHMS LABORATORY,B,Spring19
EA10004-EXTRA ACADEMIC ACTIVITY-IV,B,Spring19
EC21008-ANALOG ELECTRONIC CIRCUITS,B,Spring19
EC29008-ANALOG  CIRCUITS LAB.,EX,Spring19
EE21004-MEASUREMENTS AND ELECTRONIC INSTRUMENTS,C,Spring19
EE29004-MEASUREMENTS AND ELECTRONIC INSTRUMENTS LAB.,A,Spring19
EV20001-ENVIRONMENTAL SCIENCE,EX,Spring19
HS20016-ENVIRONMENTAL HUMANITIES,EX,Spring19
MA20106-PROBABILITY & STOCHASTIC PROCESSES,A,Spring19
CH31001-MASS TRANSFER I,A,Autumn20
CS60017-,A,Autumn20
EC31003-DIGITAL ELECTRONIC CIRCUITS,B,Autumn20
EC39003-DIGITAL ELECTRONIC CIRCUITS LAB.,EX,Autumn20
EE31009-CONTROL SYSTEM ENGINEERING,B,Autumn20
EE39009-CONTROL AND INSTRUMENTATION LAB.,A,Autumn20
EP60025-,A,Autumn20
IE31001-INSTRUMENTATION DEVICES,B,Autumn20
IE39001-INSTRUMENTATION DEVICES LABORATORY,EX,Autumn20
BM40002-INTRODUCTION TO FINANCIAL MANAGEMENT,A,Spring20
CH39006-MASS TRANSFER LABORATORY,,Spring20
CS31702-COMPUTER ARCHITECTURE AND OPERATING SYSTEM,B,Spring20
CS40032-PRINCIPLES OF PROGRAMMING LANGUAGES,A,Spring20
EE30004-EMBEDDED SYSTEMS,B,Spring20
EE39004-EMBEDDED SYSTEMS LAB.,EX,Spring20
IE30002-INSTRUMENTATION DEVICES-II,B,Spring20
IE30006-DATA COMMUNICATION,A,Spring20
IE39002-INSTRUMENTATION LABORATORY-II,A,Spring20
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,A,Autumn18
CS10001-PROGRAMMING AND DATA STRUCTURES,EX,Autumn18
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,EX,Autumn18
EA10001-EXTRA ACADEMIC ACTIVITY-I,P,Autumn18
EA10005-INDUCTION PROGRAM,Y,Autumn18
MA10001-MATHEMATICS-I,A,Autumn18
ME10001-MECHANICS,A,Autumn18
PH11001-PHYSICS,A,Autumn18
PH19001-PHYSICS LAB.,EX,Autumn18
CY11001-CHEMISTRY,A,Spring18
CY19001-CHEMISTRY LAB.,EX,Spring18
EA10002-EXTRA ACADEMIC ACTIVITY-II,D,Spring18
EE11001-ELECTRICAL TECHNOLOGY,EX,Spring18
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Spring18
HS13001-ENGLISH FOR COMMUNICATION,A,Spring18
MA10002-MATHEMATICS-II,EX,Spring18
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring18
EA10003-EXTRA ACADEMIC ACTIVITY-III,C,Autumn19
EC21103-INTRODUCTION TO ELECTRONICS,B,Autumn19
EC29003-INTRODUCTION TO ELECTRONICS LAB.,EX,Autumn19
EE21101-SIGNALS & NETWORKS,B,Autumn19
EE29001-SIGNALS & NETWORKS LAB.,A,Autumn19
HS30095-GLOBALISATION AND CULTURE,EX,Autumn19
MA20101-TRANSFORM CALCULUS,EX,Autumn19
PH20003-PHYSICS-II,A,Autumn19
BS20001-SCIENCE OF LIVING SYSTEM,B,Spring19
CS21003-ALGORITHMS - I,A,Spring19
CS29003-ALGORITHMS LABORATORY,EX,Spring19
EA10004-EXTRA ACADEMIC ACTIVITY-IV,B,Spring19
EC21008-ANALOG ELECTRONIC CIRCUITS,C,Spring19
EC29008-ANALOG  CIRCUITS LAB.,EX,Spring19
EE21004-MEASUREMENTS AND ELECTRONIC INSTRUMENTS,A,Spring19
EE29004-MEASUREMENTS AND ELECTRONIC INSTRUMENTS LAB.,A,Spring19
EV20001-ENVIRONMENTAL SCIENCE,B,Spring19
HS30001-INTRODUCTION TO SOCIOLOGY,A,Spring19
MA20106-PROBABILITY & STOCHASTIC PROCESSES,EX,Spring19
CH31001-MASS TRANSFER I,A,Autumn20
CS60017-,A,Autumn20
EC31003-DIGITAL ELECTRONIC CIRCUITS,A,Autumn20
EC39003-DIGITAL ELECTRONIC CIRCUITS LAB.,EX,Autumn20
EE31009-CONTROL SYSTEM ENGINEERING,B,Autumn20
EE39009-CONTROL AND INSTRUMENTATION LAB.,EX,Autumn20
EP60025-,EX,Autumn20
IE31001-INSTRUMENTATION DEVICES,B,Autumn20
IE39001-INSTRUMENTATION DEVICES LABORATORY,EX,Autumn20
BM40002-INTRODUCTION TO FINANCIAL MANAGEMENT,B,Spring20
CH39006-MASS TRANSFER LABORATORY,,Spring20
CS31702-COMPUTER ARCHITECTURE AND OPERATING SYSTEM,B,Spring20
CS40032-PRINCIPLES OF PROGRAMMING LANGUAGES,A,Spring20
EE30004-EMBEDDED SYSTEMS,A,Spring20
EE39004-EMBEDDED SYSTEMS LAB.,EX,Spring20
IE30002-INSTRUMENTATION DEVICES-II,B,Spring20
IE30006-DATA COMMUNICATION,B,Spring20
IE39002-INSTRUMENTATION LABORATORY-II,EX,Spring20
