subject,subject_grades,subject_session
BS20001-SCIENCE OF LIVING SYSTEM,D,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,EX,Spring21
EC21004-SIGNALS AND SYSTEMS,C,Spring21
EC21006-ELECTROMAGNETIC ENGINEERING,B,Spring21
EC21008-ANALOG ELECTRONIC CIRCUITS,B,Spring21
EC29004-DEVICES LABORATORY,B,Spring21
EC29008-ANALOG  CIRCUITS LAB.,,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
MA20106-PROBABILITY & STOCHASTIC PROCESSES,D,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,C,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,B,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,A,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,C,Autumn19
ME10001-MECHANICS,C,Autumn19
PH11001-PHYSICS,C,Autumn19
PH19001-PHYSICS LAB.,EX,Autumn19
CY11001-CHEMISTRY,B,Spring20
CY19001-CHEMISTRY LAB.,A,Spring20
EE11001-ELECTRICAL TECHNOLOGY,B,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Spring20
HS13001-ENGLISH FOR COMMUNICATION,B,Spring20
MA10002-MATHEMATICS-II,A,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring20
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20
EC21005-NETWORK THEORY,A,Autumn20
EC21103-INTRODUCTION TO ELECTRONICS,A,Autumn20
EC21107-SEMICONDUCTOR DEVICES,A,Autumn20
EC29003-INTRODUCTION TO ELECTRONICS LAB.,A,Autumn20
EC29005-NETWORK THEORY LAB.,I,Autumn20
ET60007-,A,Autumn20
MA20107-MATRIX ALGEBRA,EX,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,A,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring21
EC21004-SIGNALS AND SYSTEMS,B,Spring21
EC21006-ELECTROMAGNETIC ENGINEERING,B,Spring21
EC21008-ANALOG ELECTRONIC CIRCUITS,A,Spring21
EC29004-DEVICES LABORATORY,A,Spring21
EC29008-ANALOG  CIRCUITS LAB.,,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
MA20106-PROBABILITY & STOCHASTIC PROCESSES,EX,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,EX,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,EX,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,EX,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,C,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,A,Autumn19
ME10001-MECHANICS,A,Autumn19
PH11001-PHYSICS,EX,Autumn19
PH19001-PHYSICS LAB.,EX,Autumn19
CY11001-CHEMISTRY,EX,Spring20
CY19001-CHEMISTRY LAB.,A,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring20
EE11001-ELECTRICAL TECHNOLOGY,A,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,EX,Spring20
HS13001-ENGLISH FOR COMMUNICATION,A,Spring20
MA10002-MATHEMATICS-II,A,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,EX,Spring20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
EC21005-NETWORK THEORY,B,Autumn20
EC21103-INTRODUCTION TO ELECTRONICS,A,Autumn20
EC21107-SEMICONDUCTOR DEVICES,B,Autumn20
EC29003-INTRODUCTION TO ELECTRONICS LAB.,EX,Autumn20
EC29005-NETWORK THEORY LAB.,I,Autumn20
MA20107-MATRIX ALGEBRA,A,Autumn20
PH20003-PHYSICS-II,A,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,EX,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring21
EC21004-SIGNALS AND SYSTEMS,EX,Spring21
EC21006-ELECTROMAGNETIC ENGINEERING,A,Spring21
EC21008-ANALOG ELECTRONIC CIRCUITS,B,Spring21
EC29004-DEVICES LABORATORY,EX,Spring21
EC29008-ANALOG  CIRCUITS LAB.,,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
MA20106-PROBABILITY & STOCHASTIC PROCESSES,C,Spring21
PH41016-NUCLEAR AND PARTICLE PHYSICS -I,A,Spring21
CY11001-CHEMISTRY,EX,Autumn19
CY19001-CHEMISTRY LAB.,EX,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,B,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,EX,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,A,Autumn19
MA10001-MATHEMATICS-I,EX,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,A,Spring20
CS10001-PROGRAMMING AND DATA STRUCTURES,EX,Spring20
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,EX,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,EX,Spring20
MA10002-MATHEMATICS-II,EX,Spring20
ME10001-MECHANICS,EX,Spring20
PH11001-PHYSICS,EX,Spring20
PH19001-PHYSICS LAB.,A,Spring20
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20
EC21005-NETWORK THEORY,B,Autumn20
EC21103-INTRODUCTION TO ELECTRONICS,B,Autumn20
EC21107-SEMICONDUCTOR DEVICES,A,Autumn20
EC29003-INTRODUCTION TO ELECTRONICS LAB.,A,Autumn20
EC29005-NETWORK THEORY LAB.,I,Autumn20
ET60007-,A,Autumn20
MA20107-MATRIX ALGEBRA,A,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,B,Spring21
CS21003-ALGORITHMS - I,EX,Spring21
CS29003-ALGORITHMS LABORATORY,EX,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring21
EC21004-SIGNALS AND SYSTEMS,A,Spring21
EC21006-ELECTROMAGNETIC ENGINEERING,EX,Spring21
EC21008-ANALOG ELECTRONIC CIRCUITS,B,Spring21
EC29004-DEVICES LABORATORY,A,Spring21
EC29008-ANALOG  CIRCUITS LAB.,,Spring21
EV20001-ENVIRONMENTAL SCIENCE,C,Spring21
MA20106-PROBABILITY & STOCHASTIC PROCESSES,C,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,A,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,EX,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,EX,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,EX,Autumn19
ME10001-MECHANICS,EX,Autumn19
PH11001-PHYSICS,EX,Autumn19
PH19001-PHYSICS LAB.,EX,Autumn19
CY11001-CHEMISTRY,EX,Spring20
CY19001-CHEMISTRY LAB.,A,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring20
EE11001-ELECTRICAL TECHNOLOGY,EX,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Spring20
HS13001-ENGLISH FOR COMMUNICATION,A,Spring20
MA10002-MATHEMATICS-II,EX,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,EX,Spring20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
EC21005-NETWORK THEORY,EX,Autumn20
EC21103-INTRODUCTION TO ELECTRONICS,EX,Autumn20
EC21107-SEMICONDUCTOR DEVICES,A,Autumn20
EC29003-INTRODUCTION TO ELECTRONICS LAB.,EX,Autumn20
EC29005-NETWORK THEORY LAB.,I,Autumn20
ET60007-,EX,Autumn20
MA20107-MATRIX ALGEBRA,EX,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,EX,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,,Spring21
EC21004-SIGNALS AND SYSTEMS,A,Spring21
EC21006-ELECTROMAGNETIC ENGINEERING,EX,Spring21
EC21008-ANALOG ELECTRONIC CIRCUITS,EX,Spring21
EC29004-DEVICES LABORATORY,EX,Spring21
EC29008-ANALOG  CIRCUITS LAB.,,Spring21
EV20001-ENVIRONMENTAL SCIENCE,EX,Spring21
MA20106-PROBABILITY & STOCHASTIC PROCESSES,EX,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,EX,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,EX,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,EX,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,B,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,A,Autumn19
ME10001-MECHANICS,EX,Autumn19
PH11001-PHYSICS,EX,Autumn19
PH19001-PHYSICS LAB.,EX,Autumn19
CY11001-CHEMISTRY,EX,Spring20
CY19001-CHEMISTRY LAB.,B,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,C,Spring20
EE11001-ELECTRICAL TECHNOLOGY,EX,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,EX,Spring20
HS13001-ENGLISH FOR COMMUNICATION,A,Spring20
MA10002-MATHEMATICS-II,EX,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,EX,Spring20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
EC21005-NETWORK THEORY,A,Autumn20
EC21103-INTRODUCTION TO ELECTRONICS,B,Autumn20
EC21107-SEMICONDUCTOR DEVICES,B,Autumn20
EC29003-INTRODUCTION TO ELECTRONICS LAB.,EX,Autumn20
EC29005-NETWORK THEORY LAB.,I,Autumn20
ET60007-,A,Autumn20
MA20107-MATRIX ALGEBRA,A,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,A,Spring21
CS21003-ALGORITHMS - I,A,Spring21
CS29003-ALGORITHMS LABORATORY,A,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring21
EC21004-SIGNALS AND SYSTEMS,EX,Spring21
EC21006-ELECTROMAGNETIC ENGINEERING,EX,Spring21
EC21008-ANALOG ELECTRONIC CIRCUITS,A,Spring21
EC29004-DEVICES LABORATORY,EX,Spring21
EC29008-ANALOG  CIRCUITS LAB.,,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
MA20106-PROBABILITY & STOCHASTIC PROCESSES,EX,Spring21
CY11001-CHEMISTRY,EX,Autumn19
CY19001-CHEMISTRY LAB.,EX,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,EX,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,EX,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,A,Autumn19
MA10001-MATHEMATICS-I,EX,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,EX,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,EX,Spring20
CS10001-PROGRAMMING AND DATA STRUCTURES,EX,Spring20
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,A,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring20
MA10002-MATHEMATICS-II,EX,Spring20
ME10001-MECHANICS,A,Spring20
PH11001-PHYSICS,EX,Spring20
PH19001-PHYSICS LAB.,A,Spring20
EA10003-EXTRA ACADEMIC ACTIVITY-III,C,Autumn20
EC21005-NETWORK THEORY,C,Autumn20
EC21103-INTRODUCTION TO ELECTRONICS,A,Autumn20
EC21107-SEMICONDUCTOR DEVICES,B,Autumn20
EC29003-INTRODUCTION TO ELECTRONICS LAB.,B,Autumn20
EC29005-NETWORK THEORY LAB.,I,Autumn20
ET60029-,B,Autumn20
MA20107-MATRIX ALGEBRA,A,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,A,Spring21
CS21003-ALGORITHMS - I,C,Spring21
CS29003-ALGORITHMS LABORATORY,C,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,C,Spring21
EC21004-SIGNALS AND SYSTEMS,B,Spring21
EC21006-ELECTROMAGNETIC ENGINEERING,B,Spring21
EC21008-ANALOG ELECTRONIC CIRCUITS,C,Spring21
EC29004-DEVICES LABORATORY,A,Spring21
EC29008-ANALOG  CIRCUITS LAB.,,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
MA20106-PROBABILITY & STOCHASTIC PROCESSES,A,Spring21
CY11001-CHEMISTRY,EX,Autumn19
CY19001-CHEMISTRY LAB.,EX,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,D,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,EX,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,B,Autumn19
MA10001-MATHEMATICS-I,EX,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,EX,Spring20
CS10001-PROGRAMMING AND DATA STRUCTURES,EX,Spring20
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,EX,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,EX,Spring20
MA10002-MATHEMATICS-II,EX,Spring20
ME10001-MECHANICS,EX,Spring20
PH11001-PHYSICS,EX,Spring20
PH19001-PHYSICS LAB.,A,Spring20
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20
EC21005-NETWORK THEORY,EX,Autumn20
EC21103-INTRODUCTION TO ELECTRONICS,EX,Autumn20
EC21107-SEMICONDUCTOR DEVICES,A,Autumn20
EC29003-INTRODUCTION TO ELECTRONICS LAB.,EX,Autumn20
EC29005-NETWORK THEORY LAB.,I,Autumn20
MA20107-MATRIX ALGEBRA,A,Autumn20
MA51005-ANALYTICAL MECHANICS,EX,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,A,Spring21
CS21003-ALGORITHMS - I,EX,Spring21
CS29003-ALGORITHMS LABORATORY,EX,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,B,Spring21
EC21004-SIGNALS AND SYSTEMS,EX,Spring21
EC21006-ELECTROMAGNETIC ENGINEERING,EX,Spring21
EC21008-ANALOG ELECTRONIC CIRCUITS,EX,Spring21
EC29004-DEVICES LABORATORY,EX,Spring21
EC29008-ANALOG  CIRCUITS LAB.,,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
MA20106-PROBABILITY & STOCHASTIC PROCESSES,C,Spring21
CY11001-CHEMISTRY,EX,Autumn19
CY19001-CHEMISTRY LAB.,A,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,EX,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,A,Autumn19
MA10001-MATHEMATICS-I,EX,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,A,Spring20
CS10001-PROGRAMMING AND DATA STRUCTURES,EX,Spring20
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,A,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring20
MA10002-MATHEMATICS-II,EX,Spring20
ME10001-MECHANICS,EX,Spring20
PH11001-PHYSICS,A,Spring20
PH19001-PHYSICS LAB.,EX,Spring20
AT30001-FUNDAMENTALS OF EMBEDDED CONTROL AND SOFTWARE,B,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20
EC21005-NETWORK THEORY,B,Autumn20
EC21103-INTRODUCTION TO ELECTRONICS,EX,Autumn20
EC21107-SEMICONDUCTOR DEVICES,B,Autumn20
EC29003-INTRODUCTION TO ELECTRONICS LAB.,EX,Autumn20
EC29005-NETWORK THEORY LAB.,I,Autumn20
ET60007-,A,Autumn20
MA20107-MATRIX ALGEBRA,A,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,EX,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring21
EC21004-SIGNALS AND SYSTEMS,A,Spring21
EC21006-ELECTROMAGNETIC ENGINEERING,EX,Spring21
EC21008-ANALOG ELECTRONIC CIRCUITS,EX,Spring21
EC29004-DEVICES LABORATORY,EX,Spring21
EC29008-ANALOG  CIRCUITS LAB.,,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
MA20106-PROBABILITY & STOCHASTIC PROCESSES,A,Spring21
CY11001-CHEMISTRY,EX,Autumn19
CY19001-CHEMISTRY LAB.,A,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,C,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,EX,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,EX,Autumn19
MA10001-MATHEMATICS-I,A,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,EX,Spring20
CS10001-PROGRAMMING AND DATA STRUCTURES,EX,Spring20
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,A,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring20
MA10002-MATHEMATICS-II,EX,Spring20
ME10001-MECHANICS,EX,Spring20
PH11001-PHYSICS,A,Spring20
PH19001-PHYSICS LAB.,EX,Spring20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
EC21005-NETWORK THEORY,A,Autumn20
EC21103-INTRODUCTION TO ELECTRONICS,B,Autumn20
EC21107-SEMICONDUCTOR DEVICES,A,Autumn20
EC29003-INTRODUCTION TO ELECTRONICS LAB.,EX,Autumn20
EC29005-NETWORK THEORY LAB.,I,Autumn20
ET60029-,EX,Autumn20
MA20107-MATRIX ALGEBRA,A,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,EX,Spring21
CS21003-ALGORITHMS - I,B,Spring21
CS29003-ALGORITHMS LABORATORY,EX,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,B,Spring21
EC21004-SIGNALS AND SYSTEMS,A,Spring21
EC21006-ELECTROMAGNETIC ENGINEERING,EX,Spring21
EC21008-ANALOG ELECTRONIC CIRCUITS,EX,Spring21
EC29004-DEVICES LABORATORY,A,Spring21
EC29008-ANALOG  CIRCUITS LAB.,,Spring21
EV20001-ENVIRONMENTAL SCIENCE,EX,Spring21
MA20106-PROBABILITY & STOCHASTIC PROCESSES,A,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,A,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,A,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,B,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,EX,Autumn19
ME10001-MECHANICS,EX,Autumn19
PH11001-PHYSICS,EX,Autumn19
PH19001-PHYSICS LAB.,EX,Autumn19
CY11001-CHEMISTRY,EX,Spring20
CY19001-CHEMISTRY LAB.,A,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring20
EE11001-ELECTRICAL TECHNOLOGY,A,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Spring20
HS13001-ENGLISH FOR COMMUNICATION,EX,Spring20
MA10002-MATHEMATICS-II,EX,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring20
CS40019-IMAGE PROCESSING,EX,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20
EC21005-NETWORK THEORY,A,Autumn20
EC21103-INTRODUCTION TO ELECTRONICS,EX,Autumn20
EC21107-SEMICONDUCTOR DEVICES,A,Autumn20
EC29003-INTRODUCTION TO ELECTRONICS LAB.,A,Autumn20
EC29005-NETWORK THEORY LAB.,I,Autumn20
MA20107-MATRIX ALGEBRA,EX,Autumn20
PH20003-PHYSICS-II,EX,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,EX,Spring21
CS21003-ALGORITHMS - I,EX,Spring21
CS29003-ALGORITHMS LABORATORY,B,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,B,Spring21
EC21004-SIGNALS AND SYSTEMS,B,Spring21
EC21006-ELECTROMAGNETIC ENGINEERING,EX,Spring21
EC21008-ANALOG ELECTRONIC CIRCUITS,B,Spring21
EC29004-DEVICES LABORATORY,EX,Spring21
EC29008-ANALOG  CIRCUITS LAB.,,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
MA20106-PROBABILITY & STOCHASTIC PROCESSES,EX,Spring21
CY11001-CHEMISTRY,EX,Autumn19
CY19001-CHEMISTRY LAB.,EX,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,EX,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,EX,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,EX,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,A,Autumn19
MA10001-MATHEMATICS-I,EX,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,EX,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,A,Spring20
CS10001-PROGRAMMING AND DATA STRUCTURES,EX,Spring20
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,EX,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring20
MA10002-MATHEMATICS-II,EX,Spring20
ME10001-MECHANICS,EX,Spring20
PH11001-PHYSICS,EX,Spring20
PH19001-PHYSICS LAB.,EX,Spring20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
EC21005-NETWORK THEORY,EX,Autumn20
EC21103-INTRODUCTION TO ELECTRONICS,EX,Autumn20
EC21107-SEMICONDUCTOR DEVICES,A,Autumn20
EC29003-INTRODUCTION TO ELECTRONICS LAB.,EX,Autumn20
EC29005-NETWORK THEORY LAB.,I,Autumn20
ET60007-,EX,Autumn20
MA20107-MATRIX ALGEBRA,EX,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,EX,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,EX,Spring21
EC21004-SIGNALS AND SYSTEMS,EX,Spring21
EC21006-ELECTROMAGNETIC ENGINEERING,EX,Spring21
EC21008-ANALOG ELECTRONIC CIRCUITS,A,Spring21
EC29004-DEVICES LABORATORY,EX,Spring21
EC29008-ANALOG  CIRCUITS LAB.,,Spring21
EV20001-ENVIRONMENTAL SCIENCE,EX,Spring21
MA20106-PROBABILITY & STOCHASTIC PROCESSES,B,Spring21
CY11001-CHEMISTRY,EX,Autumn19
CY19001-CHEMISTRY LAB.,EX,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,B,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,EX,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,EX,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,EX,Autumn19
MA10001-MATHEMATICS-I,EX,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,EX,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,A,Spring20
CS10001-PROGRAMMING AND DATA STRUCTURES,EX,Spring20
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,EX,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring20
MA10002-MATHEMATICS-II,EX,Spring20
ME10001-MECHANICS,A,Spring20
PH11001-PHYSICS,EX,Spring20
PH19001-PHYSICS LAB.,EX,Spring20
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20
EC21005-NETWORK THEORY,A,Autumn20
EC21103-INTRODUCTION TO ELECTRONICS,A,Autumn20
EC21107-SEMICONDUCTOR DEVICES,B,Autumn20
EC29003-INTRODUCTION TO ELECTRONICS LAB.,EX,Autumn20
EC29005-NETWORK THEORY LAB.,I,Autumn20
MA20107-MATRIX ALGEBRA,EX,Autumn20
PH20003-PHYSICS-II,EX,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,EX,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,B,Spring21
EC21004-SIGNALS AND SYSTEMS,EX,Spring21
EC21006-ELECTROMAGNETIC ENGINEERING,EX,Spring21
EC21008-ANALOG ELECTRONIC CIRCUITS,EX,Spring21
EC29004-DEVICES LABORATORY,EX,Spring21
EC29008-ANALOG  CIRCUITS LAB.,,Spring21
EV20001-ENVIRONMENTAL SCIENCE,EX,Spring21
MA20106-PROBABILITY & STOCHASTIC PROCESSES,EX,Spring21
CY11001-CHEMISTRY,EX,Autumn19
CY19001-CHEMISTRY LAB.,EX,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,B,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,EX,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,A,Autumn19
MA10001-MATHEMATICS-I,EX,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,EX,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Spring20
CS10001-PROGRAMMING AND DATA STRUCTURES,A,Spring20
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,EX,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring20
MA10002-MATHEMATICS-II,EX,Spring20
ME10001-MECHANICS,EX,Spring20
PH11001-PHYSICS,EX,Spring20
PH19001-PHYSICS LAB.,A,Spring20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
EC21005-NETWORK THEORY,B,Autumn20
EC21103-INTRODUCTION TO ELECTRONICS,B,Autumn20
EC21107-SEMICONDUCTOR DEVICES,B,Autumn20
EC29003-INTRODUCTION TO ELECTRONICS LAB.,EX,Autumn20
EC29005-NETWORK THEORY LAB.,I,Autumn20
ET60007-,EX,Autumn20
MA20107-MATRIX ALGEBRA,B,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,C,Spring21
CS21003-ALGORITHMS - I,D,Spring21
CS29003-ALGORITHMS LABORATORY,B,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,B,Spring21
EC21004-SIGNALS AND SYSTEMS,A,Spring21
EC21006-ELECTROMAGNETIC ENGINEERING,B,Spring21
EC21008-ANALOG ELECTRONIC CIRCUITS,D,Spring21
EC29004-DEVICES LABORATORY,A,Spring21
EC29008-ANALOG  CIRCUITS LAB.,,Spring21
