subject,subject_grades,subject_session
RT30018-RUBBER PROCESS ENGINEERING,B,Spring20
CY11001-CHEMISTRY,B,Autumn19
CY19001-CHEMISTRY LAB.,A,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,B,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,C,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,EX,Autumn19
MA10001-MATHEMATICS-I,B,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Spring19
CS10001-PROGRAMMING AND DATA STRUCTURES,A,Spring19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,EX,Spring19
EA10002-EXTRA ACADEMIC ACTIVITY-II,EX,Spring19
MA10002-MATHEMATICS-II,B,Spring19
ME10001-MECHANICS,D,Spring19
PH11001-PHYSICS,B,Spring19
PH19001-PHYSICS LAB.,EX,Spring19
BS20001-SCIENCE OF LIVING SYSTEM,A,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
EV20001-ENVIRONMENTAL SCIENCE,A,Autumn20
HS20001-ECONOMICS,EX,Autumn20
IM21003-OPERATIONS RESEARCH-I,A,Autumn20
MA20101-TRANSFORM CALCULUS,EX,Autumn20
ME20001-DYNAMICS,C,Autumn20
ME29701-WORKSHOP PROCESS-II,I,Autumn20
AI61005-,C,Spring20
BM40002-INTRODUCTION TO FINANCIAL MANAGEMENT,A,Spring20
EA10004-EXTRA ACADEMIC ACTIVITY-IV,EX,Spring20
EC21101-BASIC ELECTRONICS,EX,Spring20
EC29001-BASIC ELECTRONICS LAB.,A,Spring20
MA20104-PROBABILITY & STATISTICS,EX,Spring20
ME21004-THERMO-FLUID SCIENCE,EX,Spring20
ME21008-KINEMATICS  OF MACHINES,B,Spring20
ME29002-MECHANISM SESSIONAL,A,Spring20
CY11001-CHEMISTRY,C,Autumn19
CY19001-CHEMISTRY LAB.,A,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,C,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,C,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,D,Autumn19
MA10001-MATHEMATICS-I,B,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,C,Spring19
CS10001-PROGRAMMING AND DATA STRUCTURES,C,Spring19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,B,Spring19
EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring19
MA10002-MATHEMATICS-II,C,Spring19
ME10001-MECHANICS,C,Spring19
PH11001-PHYSICS,C,Spring19
PH19001-PHYSICS LAB.,A,Spring19
BS20001-SCIENCE OF LIVING SYSTEM,B,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
EV20001-ENVIRONMENTAL SCIENCE,A,Autumn20
HS20001-ECONOMICS,D,Autumn20
IM21003-OPERATIONS RESEARCH-I,EX,Autumn20
MA20101-TRANSFORM CALCULUS,EX,Autumn20
ME20001-DYNAMICS,C,Autumn20
ME29701-WORKSHOP PROCESS-II,I,Autumn20
AT60002-,A,Spring20
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring20
EC21101-BASIC ELECTRONICS,EX,Spring20
EC29001-BASIC ELECTRONICS LAB.,A,Spring20
IM60006-,A,Spring20
MA20104-PROBABILITY & STATISTICS,B,Spring20
ME21004-THERMO-FLUID SCIENCE,EX,Spring20
ME21008-KINEMATICS  OF MACHINES,B,Spring20
ME29002-MECHANISM SESSIONAL,A,Spring20
CY11001-CHEMISTRY,A,Autumn19
CY19001-CHEMISTRY LAB.,EX,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,B,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,B,Autumn19
MA10001-MATHEMATICS-I,A,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,A,Spring19
CS10001-PROGRAMMING AND DATA STRUCTURES,B,Spring19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,EX,Spring19
EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring19
MA10002-MATHEMATICS-II,EX,Spring19
ME10001-MECHANICS,B,Spring19
PH11001-PHYSICS,B,Spring19
PH19001-PHYSICS LAB.,EX,Spring19
BS20001-SCIENCE OF LIVING SYSTEM,A,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
EP60020-,EX,Autumn20
EV20001-ENVIRONMENTAL SCIENCE,A,Autumn20
HS20001-ECONOMICS,EX,Autumn20
IM21003-OPERATIONS RESEARCH-I,EX,Autumn20
MA20101-TRANSFORM CALCULUS,EX,Autumn20
ME20001-DYNAMICS,C,Autumn20
ME29701-WORKSHOP PROCESS-II,I,Autumn20
BM40002-INTRODUCTION TO FINANCIAL MANAGEMENT,A,Spring20
CS21003-ALGORITHMS - I,B,Spring20
CS29003-ALGORITHMS LABORATORY,A,Spring20
EA10004-EXTRA ACADEMIC ACTIVITY-IV,EX,Spring20
EC21101-BASIC ELECTRONICS,EX,Spring20
EC29001-BASIC ELECTRONICS LAB.,A,Spring20
MA20104-PROBABILITY & STATISTICS,A,Spring20
ME21004-THERMO-FLUID SCIENCE,A,Spring20
ME21008-KINEMATICS  OF MACHINES,A,Spring20
ME29002-MECHANISM SESSIONAL,A,Spring20
CY11001-CHEMISTRY,P,Autumn19
CY19001-CHEMISTRY LAB.,B,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,C,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,P,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,C,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,C,Autumn19
MA10001-MATHEMATICS-I,P,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,C,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Spring19
CS10001-PROGRAMMING AND DATA STRUCTURES,D,Spring19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,C,Spring19
EA10002-EXTRA ACADEMIC ACTIVITY-II,C,Spring19
MA10002-MATHEMATICS-II,P,Spring19
ME10001-MECHANICS,P,Spring19
PH11001-PHYSICS,P,Spring19
PH19001-PHYSICS LAB.,EX,Spring19
BS20001-SCIENCE OF LIVING SYSTEM,A,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20
EV20001-ENVIRONMENTAL SCIENCE,B,Autumn20
HS20001-ECONOMICS,B,Autumn20
IM21003-OPERATIONS RESEARCH-I,B,Autumn20
MA20101-TRANSFORM CALCULUS,A,Autumn20
ME20001-DYNAMICS,D,Autumn20
ME29701-WORKSHOP PROCESS-II,I,Autumn20
EA10004-EXTRA ACADEMIC ACTIVITY-IV,B,Spring20
EC21101-BASIC ELECTRONICS,C,Spring20
EC29001-BASIC ELECTRONICS LAB.,B,Spring20
IM60006-,C,Spring20
MA20104-PROBABILITY & STATISTICS,P,Spring20
ME21004-THERMO-FLUID SCIENCE,C,Spring20
ME21008-KINEMATICS  OF MACHINES,B,Spring20
ME29002-MECHANISM SESSIONAL,B,Spring20
CY11001-CHEMISTRY,A,Autumn19
CY19001-CHEMISTRY LAB.,A,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,D,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,A,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,A,Autumn19
MA10001-MATHEMATICS-I,B,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,C,Spring19
CS10001-PROGRAMMING AND DATA STRUCTURES,B,Spring19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,C,Spring19
EA10002-EXTRA ACADEMIC ACTIVITY-II,EX,Spring19
MA10002-MATHEMATICS-II,EX,Spring19
ME10001-MECHANICS,D,Spring19
PH11001-PHYSICS,A,Spring19
PH19001-PHYSICS LAB.,A,Spring19
BS20001-SCIENCE OF LIVING SYSTEM,A,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
EV20001-ENVIRONMENTAL SCIENCE,B,Autumn20
HS20001-ECONOMICS,EX,Autumn20
IM21003-OPERATIONS RESEARCH-I,EX,Autumn20
IP60017-,A,Autumn20
MA20101-TRANSFORM CALCULUS,B,Autumn20
ME20001-DYNAMICS,D,Autumn20
ME29701-WORKSHOP PROCESS-II,I,Autumn20
EA10004-EXTRA ACADEMIC ACTIVITY-IV,EX,Spring20
EC21101-BASIC ELECTRONICS,EX,Spring20
EC29001-BASIC ELECTRONICS LAB.,A,Spring20
IM60006-,A,Spring20
MA20104-PROBABILITY & STATISTICS,A,Spring20
ME21004-THERMO-FLUID SCIENCE,EX,Spring20
ME21008-KINEMATICS  OF MACHINES,B,Spring20
ME29002-MECHANISM SESSIONAL,EX,Spring20
CY11001-CHEMISTRY,C,Autumn19
CY19001-CHEMISTRY LAB.,C,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,B,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,D,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,C,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,B,Autumn19
MA10001-MATHEMATICS-I,D,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,D,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,C,Spring19
CS10001-PROGRAMMING AND DATA STRUCTURES,D,Spring19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,B,Spring19
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring19
MA10002-MATHEMATICS-II,D,Spring19
ME10001-MECHANICS,C,Spring19
PH11001-PHYSICS,B,Spring19
PH19001-PHYSICS LAB.,B,Spring19
BS20001-SCIENCE OF LIVING SYSTEM,D,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20
EV20001-ENVIRONMENTAL SCIENCE,A,Autumn20
HS20001-ECONOMICS,D,Autumn20
IM21003-OPERATIONS RESEARCH-I,C,Autumn20
MA20101-TRANSFORM CALCULUS,D,Autumn20
ME20001-DYNAMICS,D,Autumn20
ME29701-WORKSHOP PROCESS-II,I,Autumn20
BM40004-INTRODUCTION TO HUMAN BEHAVIOUR IN ORGANISATION,D,Spring20
EA10004-EXTRA ACADEMIC ACTIVITY-IV,B,Spring20
EC21101-BASIC ELECTRONICS,B,Spring20
EC29001-BASIC ELECTRONICS LAB.,B,Spring20
MA20104-PROBABILITY & STATISTICS,B,Spring20
ME21004-THERMO-FLUID SCIENCE,A,Spring20
ME21008-KINEMATICS  OF MACHINES,B,Spring20
ME29002-MECHANISM SESSIONAL,B,Spring20
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,A,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,A,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,EX,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,A,Autumn19
ME10001-MECHANICS,B,Autumn19
PH11001-PHYSICS,EX,Autumn19
PH19001-PHYSICS LAB.,EX,Autumn19
CY11001-CHEMISTRY,EX,Spring19
CY19001-CHEMISTRY LAB.,A,Spring19
EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring19
EE11001-ELECTRICAL TECHNOLOGY,A,Spring19
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Spring19
HS13001-ENGLISH FOR COMMUNICATION,C,Spring19
MA10002-MATHEMATICS-II,EX,Spring19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,EX,Spring19
BS20001-SCIENCE OF LIVING SYSTEM,A,Autumn20
CS40019-IMAGE PROCESSING,C,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
EV20001-ENVIRONMENTAL SCIENCE,EX,Autumn20
HS20001-ECONOMICS,B,Autumn20
IM21003-OPERATIONS RESEARCH-I,EX,Autumn20
MA20101-TRANSFORM CALCULUS,B,Autumn20
ME20001-DYNAMICS,C,Autumn20
ME29701-WORKSHOP PROCESS-II,I,Autumn20
CS21003-ALGORITHMS - I,B,Spring20
CS29003-ALGORITHMS LABORATORY,B,Spring20
EA10004-EXTRA ACADEMIC ACTIVITY-IV,D,Spring20
EC21101-BASIC ELECTRONICS,EX,Spring20
EC29001-BASIC ELECTRONICS LAB.,A,Spring20
EG30002-ENERGY CONVERSION PROCESSES,EX,Spring20
MA20104-PROBABILITY & STATISTICS,A,Spring20
ME21004-THERMO-FLUID SCIENCE,EX,Spring20
ME21008-KINEMATICS  OF MACHINES,B,Spring20
ME29002-MECHANISM SESSIONAL,EX,Spring20
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,P,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,C,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,C,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,P,Autumn19
ME10001-MECHANICS,P,Autumn19
PH11001-PHYSICS,P,Autumn19
PH19001-PHYSICS LAB.,C,Autumn19
CY11001-CHEMISTRY,D,Spring19
CY19001-CHEMISTRY LAB.,EX,Spring19
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring19
EE11001-ELECTRICAL TECHNOLOGY,P,Spring19
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Spring19
HS13001-ENGLISH FOR COMMUNICATION,B,Spring19
MA10002-MATHEMATICS-II,D,Spring19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,EX,Spring19
BS20001-SCIENCE OF LIVING SYSTEM,A,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20
EV20001-ENVIRONMENTAL SCIENCE,EX,Autumn20
HS20001-ECONOMICS,EX,Autumn20
IM21003-OPERATIONS RESEARCH-I,C,Autumn20
MA20101-TRANSFORM CALCULUS,A,Autumn20
ME20001-DYNAMICS,D,Autumn20
ME29701-WORKSHOP PROCESS-II,I,Autumn20
EA10004-EXTRA ACADEMIC ACTIVITY-IV,B,Spring20
EC21101-BASIC ELECTRONICS,D,Spring20
EC29001-BASIC ELECTRONICS LAB.,B,Spring20
EG30002-ENERGY CONVERSION PROCESSES,B,Spring20
MA20104-PROBABILITY & STATISTICS,C,Spring20
ME21004-THERMO-FLUID SCIENCE,C,Spring20
ME21008-KINEMATICS  OF MACHINES,A,Spring20
ME29002-MECHANISM SESSIONAL,B,Spring20
